domain,estimand,detection_profile,action_delay_fraction,residual_contact_multiplier,system_family,effect,source_artifact,observation_profile,method,rewiring_fraction,epidemic_model,disease_regime,mapping,contrast,endpoint
delivery,history_policy_over_no_action,early_detection,0.0,0.0,domestic_sheep_sirtrack,0.0041666666666666,results/EXP-20260816-017/full/absolute_family_summary.csv,,,,,,,,
delivery,history_policy_over_no_action,early_detection,0.0,0.25,domestic_sheep_sirtrack,0.025,results/EXP-20260816-017/full/absolute_family_summary.csv,,,,,,,,
delivery,history_policy_over_no_action,early_detection,0.0,0.5,domestic_sheep_sirtrack,0.0208333333333333,results/EXP-20260816-017/full/absolute_family_summary.csv,,,,,,,,
delivery,history_policy_over_no_action,early_detection,0.1,0.0,domestic_sheep_sirtrack,0.009375,results/EXP-20260816-017/full/absolute_family_summary.csv,,,,,,,,
delivery,history_policy_over_no_action,early_detection,0.1,0.25,domestic_sheep_sirtrack,0.028125,results/EXP-20260816-017/full/absolute_family_summary.csv,,,,,,,,
delivery,history_policy_over_no_action,early_detection,0.1,0.5,domestic_sheep_sirtrack,0.0177083333333333,results/EXP-20260816-017/full/absolute_family_summary.csv,,,,,,,,
delivery,history_policy_over_no_action,delayed_detection,0.0,0.0,guinea_baboons_sociopatterns,0.0052083333333333,results/EXP-20260816-017/full/absolute_family_summary.csv,,,,,,,,
delivery,history_policy_over_no_action,delayed_detection,0.0,0.25,guinea_baboons_sociopatterns,0.0052083333333333,results/EXP-20260816-017/full/absolute_family_summary.csv,,,,,,,,
delivery,history_policy_over_no_action,delayed_detection,0.0,0.5,guinea_baboons_sociopatterns,0.0052083333333333,results/EXP-20260816-017/full/absolute_family_summary.csv,,,,,,,,
delivery,history_policy_over_no_action,delayed_detection,0.1,0.0,guinea_baboons_sociopatterns,0.0052083333333333,results/EXP-20260816-017/full/absolute_family_summary.csv,,,,,,,,
delivery,history_policy_over_no_action,delayed_detection,0.1,0.25,guinea_baboons_sociopatterns,0.0052083333333333,results/EXP-20260816-017/full/absolute_family_summary.csv,,,,,,,,
delivery,history_policy_over_no_action,delayed_detection,0.1,0.5,guinea_baboons_sociopatterns,0.0052083333333333,results/EXP-20260816-017/full/absolute_family_summary.csv,,,,,,,,
delivery,history_policy_over_no_action,early_detection,0.0,0.0,guinea_baboons_sociopatterns,0.0,results/EXP-20260816-017/full/absolute_family_summary.csv,,,,,,,,
